fips,product
1003,315000
1009,141000
1019,316000
1043,304000
1047,268000
1049,562000
1051,35900
1053,46200
1055,137000
1057,54200
1059,176000
1061,121000
1069,66100
1075,36300
1087,22500
1091,75400
1095,337000
1103,465000
1105,267000
1119,52900
1121,289000
1125,164000
5029,745000
5045,336000
5047,67500
5119,896000
5149,247000
13001,49400
13015,136000
13027,274000
13031,111000
13033,85100
13055,74700
13069,29500
13071,71600
13093,254000
13105,71000
13107,153000
13115,122000
13119,22400
13131,108000
13147,83800
13151,33700
13153,67800
13165,42500
13185,63700
13193,154000
13197,56400
13205,115000
13209,68100
13243,246000
13251,55500
13253,122000
13269,102000
13273,32400
13275,80500
13279,163000
13295,94300
17151,683000
18013,128000
18029,594000
18043,186000
18097,396000
18105,373000
18115,208000
18155,470000
20019,294000
20023,351000
20049,473000
20061,694000
20065,298000
20069,978000
20077,505000
20081,847000
20083,166000
20095,905000
20145,938000
20163,544000
20167,245000
20181,347000
20189,710000
21001,633000
21015,158000
21017,501000
21021,267000
21023,45700
21029,240000
21045,454000
21049,383000
21061,639000
21065,67200
21067,312000
21069,669000
21077,118000
21079,59800
21087,761000
21099,718000
21103,545000
21113,119000
21151,57100
21161,578000
21167,361000
21169,349000
21181,59200
21185,244000
21191,168000
21205,138000
21207,475000
21209,207000
21215,482000
21217,937000
21223,267000
21229,435000
21231,640000
21239,183000
22001,841000
22007,230000
22011,104000
22015,515000
22017,430000
22019,92000
22039,902000
22045,241000
22047,928000
22053,250000
22055,128000
22073,911000
22099,440000
22101,206000
22113,228000
22121,419000
24005,700000
24025,700000
24033,143000
24037,670000
24039,945000
24045,875000
26011,974000
26035,271000
26051,443000
26093,841000
26099,962000
26105,290000
26107,275000
26117,976000
26119,117000
26123,255000
26125,114000
26127,214000
26129,172000
26133,45000
26137,22000
26163,116000
27001,226000
27003,143000
27029,727000
27035,168000
27053,705000
27095,723000
27163,689000
28003,610000
28007,100000
28009,680000
28013,946000
28015,479000
28021,170000
28025,379000
28049,575000
28057,473000
28071,261000
28087,478000
28089,581000
28097,125000
28103,794000
28117,790000
28121,365000
28123,185000
28137,860000
28145,951000
28149,731000
28155,76000
29051,648000
29059,27900
29073,668000
29077,195000
29085,189000
29099,207000
29105,76500
29109,582000
29119,76500
29131,280000
29141,550000
